Actual Price,Predicted Price
58714.3,58444.25053427219
56308.799999999996,58576.44478120803
57573.19999999999,56159.638324058054
57171.69999999999,56593.62253395319
58935.09999999999,56358.35649278163
53730.9,57661.358697927
54765.899999999994,53596.81022542715
57291.49999999999,53151.06728631258
57794.799999999996,56682.42707006931
56882.899999999994,58075.08740797042
57210.299999999996,56578.55829529762
56495.99999999999,56012.24047574997
53631.49999999999,55757.73802459239
49195.2,53466.6280277133
49405.49999999999,48418.936560261245
50562.09999999999,47139.22970422506
50595.19999999999,49800.430460488795
50473.899999999994,50768.365498983854
47596.59999999999,49953.33749119043
47137.19999999999,46788.74118195772
49314.49999999999,45870.59782907963
50080.99999999999,48212.88007348776
46703.59999999999,49518.051110911365
48366.5,46359.747899353504
48871.49999999999,47938.18309366703
47628.19999999999,49220.98205997943
46172.19999999999,47630.95798475742
46856.19999999999,45242.172143828866
46704.49999999999,45016.73988435268
46895.19999999999,46140.12967821359
48901.99999999999,47226.527380967134
48599.69999999999,48432.454743778704
50800.99999999999,48328.97357156276
50786.09999999999,50239.91078752279
50406.4,51004.67676053047
50779.899999999994,49796.78525443077
50678.19999999999,49826.51306393146
47545.19999999999,50645.22111846208
46461.69999999999,47575.97939302921
47123.299999999996,45590.30892025232
46219.49999999999,46171.24240471124
47737.99999999999,45742.88931958675
47311.799999999996,46736.80243948698
46430.2,46882.466964006424
45837.299999999996,45932.39648375511
43425.899999999994,45392.90163208246
43097.49999999999,43022.685873150826
41546.69999999999,41928.44030741453
41671.99999999999,41022.07745918035
41848.3,40902.66538641453
41832.19999999999,41525.35106977224
42733.19999999999,41427.51408758163
43900.99999999999,42135.21538319587
42559.99999999999,43423.46256071329
43073.299999999996,42366.31796320676
43096.99999999999,42430.1722179532
43079.1,42852.50222066641
42209.3,43006.44140648842
42364.59999999999,42306.0610085845
41677.799999999996,41899.58786997795
40715.899999999994,41227.96409764289
36475.5,40309.69444730281
35075.2,36158.15533154606
36269.5,33539.39487759471
36686.3,35278.91159695983
36950.59999999999,36501.00938999056
36800.399999999994,36767.61679961681
37164.299999999996,36553.8997185111
37745.1,36786.199946868415
38170.799999999996,37658.12713882923
37917.7,37722.64772156477
38498.59999999999,37303.07013250589
38709.69999999999,38422.03080502748
36890.2,39192.9897087574
